From,To,Sign,Star,Sign-Lord,Star-Lord,Sub-Lord,Sub-Sub-Lord,Degree,Min,Second,KS-N,CIL-N,KS-D,paada
0.0,0.04527777777777778,Ari,Ashwini,Ma,Ke,Ke,Ke,0,0,0,1,1,0.0,1
0.04527777777777778,0.175,Ari,Ashwini,Ma,Ke,Ke,Ve,0,2,43,1,2,0.0,1
0.175,0.21388888888888888,Ari,Ashwini,Ma,Ke,Ke,Su,0,10,30,1,3,0.0,1
0.21388888888888888,0.2786111111111111,Ari,Ashwini,Ma,Ke,Ke,Mo,0,12,50,1,4,0.0,1
0.2786111111111111,0.32416666666666666,Ari,Ashwini,Ma,Ke,Ke,Ma,0,16,43,1,5,0.0,1
0.32416666666666666,0.44083333333333335,Ari,Ashwini,Ma,Ke,Ke,Ra,0,19,27,1,6,0.0,1
0.44083333333333335,0.5444444444444444,Ari,Ashwini,Ma,Ke,Ke,Ju,0,26,27,1,7,0.0,1
0.5444444444444444,0.6675,Ari,Ashwini,Ma,Ke,Ke,Sa,0,32,40,1,8,0.0,1
0.6675,0.7777777777777778,Ari,Ashwini,Ma,Ke,Ke,Me,0,40,3,1,9,0.0,1
0.7777777777777778,1.1480555555555556,Ari,Ashwini,Ma,Ke,Ve,Ve,0,46,40,2,10,0.7777777777777778,1
1.1480555555555556,1.2591666666666668,Ari,Ashwini,Ma,Ke,Ve,Su,1,8,53,2,11,0.7777777777777778,1
1.2591666666666668,1.4444444444444444,Ari,Ashwini,Ma,Ke,Ve,Mo,1,15,33,2,12,0.7777777777777778,1
1.4444444444444444,1.5741666666666667,Ari,Ashwini,Ma,Ke,Ve,Ma,1,26,40,2,13,0.7777777777777778,1
1.5741666666666667,1.9075,Ari,Ashwini,Ma,Ke,Ve,Ra,1,34,27,2,14,0.7777777777777778,1
1.9075,2.203611111111111,Ari,Ashwini,Ma,Ke,Ve,Ju,1,54,27,2,15,0.7777777777777778,1
2.203611111111111,2.5555555555555554,Ari,Ashwini,Ma,Ke,Ve,Sa,2,12,13,2,16,0.7777777777777778,1
2.5555555555555554,2.870277777777778,Ari,Ashwini,Ma,Ke,Ve,Me,2,33,20,2,17,0.7777777777777778,1
2.870277777777778,3.0,Ari,Ashwini,Ma,Ke,Ve,Ke,2,52,13,2,18,0.7777777777777778,1
3.0,3.033333333333333,Ari,Ashwini,Ma,Ke,Su,Su,3,0,0,3,19,3.0,1
3.033333333333333,3.088888888888889,Ari,Ashwini,Ma,Ke,Su,Mo,3,2,0,3,20,3.0,1
3.088888888888889,3.1277777777777778,Ari,Ashwini,Ma,Ke,Su,Ma,3,5,20,3,21,3.0,1
3.1277777777777778,3.227777777777778,Ari,Ashwini,Ma,Ke,Su,Ra,3,7,40,3,22,3.0,1
3.227777777777778,3.316666666666667,Ari,Ashwini,Ma,Ke,Su,Ju,3,13,40,3,23,3.0,1
3.316666666666667,3.3333333333333335,Ari,Ashwini,Ma,Ke,Su,Sa,3,19,0,3,24,3.0,1
3.3333333333333335,3.422222222222222,Ari,Ashwini,Ma,Ke,Su,Sa,3,20,0,3,24,3.0,2
3.422222222222222,3.5166666666666666,Ari,Ashwini,Ma,Ke,Su,Me,3,25,20,3,25,3.0,2
